PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Stovner Discgolfpark,Main,2020-10-08 15:57,56,,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3
Benjamin,Stovner Discgolfpark,Main,2020-10-08 15:57,60,4,3,4,4,3,3,4,3,5,5,2,3,5,3,3,2,3,3,2
Ludvig,Stovner Discgolfpark,Main,2020-10-08 15:57,63,7,3,3,3,3,4,4,4,4,5,2,3,6,4,3,3,3,3,3
Par,Stovner Discgolfpark,Main,2020-10-03 12:21,56,,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3
Benjamin,Stovner Discgolfpark,Main,2020-10-03 12:21,65,9,3,4,4,3,4,4,4,2,5,4,4,4,4,3,3,3,4,3
Vindmøllen,Stovner Discgolfpark,Main,2020-10-03 12:21,71,15,2,4,3,5,3,4,4,4,9,4,4,5,3,3,3,3,5,3
Ludvig,Stovner Discgolfpark,Main,2020-10-03 12:21,80,24,3,3,4,4,3,6,3,4,7,3,4,7,4,8,3,5,5,4
Par,Stovner Discgolfpark,Main,2020-10-02 16:09,56,,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3
Benjamin,Stovner Discgolfpark,Main,2020-10-02 16:09,57,1,2,2,3,3,3,4,3,3,5,3,3,4,3,2,3,4,2,5
Arild,Stovner Discgolfpark,Main,2020-10-02 16:09,78,22,2,4,3,4,4,7,5,4,7,3,4,9,5,3,3,3,4,4
Ludvig,Stovner Discgolfpark,Main,2020-10-02 16:09,71,15,2,5,3,3,4,6,5,3,6,3,5,5,3,4,3,3,3,5
Par,Stovner Discgolfpark,Main,2020-09-25 17:08,56,,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3
